generic_name,commercial_name,description
KIT AVVIO A300 AZ,Avvio A300 Azul,"El Avvio A300 Azul es un dispositivo que combina diseño elegante y funcionalidad eficiente, ideal para quienes buscan una experiencia móvil accesible y confiable.

Pantalla: El Avvio A300 Azul cuenta con una pantalla de tipo LCD que ofrece una resolución adecuada para el uso diario, permitiendo visualizar contenido con claridad y colores vibrantes.

Dimensiones y Peso: Este modelo está diseñado para ser compacto y ligero, facilitando su manejo. Las dimensiones exactas y el peso son tales que permiten llevarlo cómodamente en el bolsillo o bolso sin inconvenientes.

Capacidad: El Avvio A300 Azul ofrece una opción de almacenamiento que se ajusta a las necesidades básicas, acompañado de una cantidad de RAM que asegura un rendimiento fluido para aplicaciones y tareas cotidianas.

Cámara: Equipado con una cámara básica, el Avvio A300 Azul permite capturar momentos importantes con facilidad. Su configuración está optimizada para brindar imágenes claras en ambientes bien iluminados.

Procesador: En su interior, el Avvio A300 Azul alberga un chip eficiente que, junto con su arquitectura optimizada, garantiza un desempeño estable y confiable para las funciones más comunes del día a día.

Batería: La batería del Avvio A300 Azul está diseñada para ofrecer una duración suficiente que acompaña al usuario durante toda la jornada, asegurando que las actividades principales puedan realizarse sin preocupaciones de carga continua.

El Avvio A300 Azul es la elección perfecta para quienes buscan un dispositivo funcional con un diseño atractivo, ofreciendo lo esencial para mantenerse conectado y productivo en un mundo cada vez más digital."
KIT APP IPH14128GBMID MN,iPhone 14 128GB Midnight,"El iPhone 14 128GB Midnight es una obra maestra de la ingeniería moderna, diseñado para ofrecer una experiencia móvil inigualable. Con su elegante acabado en Midnight, este dispositivo combina estilo, potencia y funcionalidad en un solo paquete.

La pantalla Super Retina XDR de 6.1 pulgadas del iPhone 14 ofrece una resolución de 2532 x 1170 píxeles, garantizando imágenes nítidas y colores vibrantes. Utiliza tecnología OLED, lo que permite negros profundos y un rango dinámico impresionante, haciendo que cada imagen y video cobren vida con detalles sorprendentes.

Con unas dimensiones aproximadas de 146.7 mm de alto, 71.5 mm de ancho y 7.8 mm de grosor, y un peso de alrededor de 173 gramos, el iPhone 14 128GB Midnight es cómodo de sostener y fácil de llevar a cualquier parte.

Este modelo ofrece una opción de almacenamiento de 128GB, lo que proporciona amplio espacio para aplicaciones, fotos y videos. Además, cuenta con 6GB de RAM, asegurando un rendimiento fluido y eficiente en todas tus tareas diarias.

La cámara del iPhone 14 es un sistema dual de 12 MP, que incluye un lente gran angular y un ultra gran angular. Con características avanzadas como el modo Noche, HDR Inteligente y grabación de video en 4K, podrás capturar momentos con una claridad y detalle excepcionales.

Bajo su elegante exterior, el iPhone 14 128GB Midnight alberga el potente chip A15 Bionic con arquitectura de 64 bits. Este procesador garantiza un rendimiento rápido y eficiente, permitiendo una experiencia de usuario inigualable"
KIT APP IPH11 128GWHI BL,iPhone 11 128GB Blanco,"Descubre el iPhone 11 128GB Blanco, un dispositivo que combina elegancia y rendimiento en un diseño impecable. 

Pantalla: El iPhone 11 cuenta con una pantalla Liquid Retina HD de 6.1 pulgadas, que ofrece una resolución de 1792 x 828 píxeles a 326 ppi. La tecnología IPS integrada garantiza colores vibrantes y una claridad excepcional desde cualquier ángulo de visión.

Dimensiones y Peso: Con medidas de 150.9 mm de alto, 75.7 mm de ancho y 8.3 mm de grosor, el iPhone 11 ofrece un diseño compacto y ergonómico. Su peso aproximado de 194 gramos lo hace cómodo para el uso diario sin renunciar a la robustez.

Capacidad: El iPhone 11 Blanco está disponible con una capacidad de almacenamiento de 128GB, ideal para guardar todas tus fotos, videos y aplicaciones favoritas. Integra 4GB de RAM para un rendimiento fluido y eficiente en multitareas.

Cámara: Captura cada momento con el sistema de cámara dual del iPhone 11, que incluye una cámara ultra gran angular y una cámara gran angular de 12 MP. Disfruta de prestaciones como el modo Noche, grabación de video 4K y tecnología Deep Fusion para obtener imágenes nítidas y detalladas en cualquier situación.

Procesador: Equipado con el potente chip A13 Bionic, el iPhone 11 ofrece un rendimiento superior y eficiencia energética óptima. Su arquitectura de 64 bits garantiza una experiencia de usuario rápida y fluida, ideal para ejecutar aplicaciones exigentes y juegos intensivos.

Batería: La batería del iPhone 11 te ofrece hasta 17 horas de reproducción de video, asegurando que permanezcas conectado durante todo el día. Además, cuenta con carga rápida y carga inalámbrica para mayor comodidad."
KIT APP IPH11 128GBLA NG NACAR,iPhone 11 128GB Negro Nacar,"Descubre el iPhone 11 128GB Negro Nácar, un dispositivo que combina potencia y elegancia en un diseño innovador. 

La pantalla Liquid Retina HD de 6.1 pulgadas ofrece una experiencia visual incomparable con su resolución de 1792 x 828 píxeles y tecnología IPS, brindando colores vibrantes y detalles nítidos en cada imagen.

Con unas dimensiones de 150.9 x 75.7 x 8.3 mm y un peso de aproximadamente 194 gramos, el iPhone 11 128GB Negro Nácar es cómodo de sostener y fácil de llevar a todas partes.

Este modelo viene con una capacidad de almacenamiento de 128GB, proporcionándote amplio espacio para tus aplicaciones, fotos y videos favoritos. Acompañado de 4GB de RAM, asegura un rendimiento fluido y eficiente.

La cámara dual de 12MP, con una lente ultra gran angular y gran angular, permite capturar fotos impresionantes y videos 4K con facilidad. El modo Noche y el modo Retrato te ofrecen la flexibilidad de capturar momentos perfectos en cualquier condición de luz.

Impulsado por el chip A13 Bionic de 64 bits, el iPhone 11 128GB Negro Nácar garantiza un rendimiento excepcional, permitiendo experiencias de juego avanzadas y un uso eficiente de la energía.

La batería de larga duración te acompaña durante todo el día, ofreciendo hasta 17 horas de reproducción de video, manteniéndote conectado y productivo sin interrupciones.

El iPhone 11 128GB Negro Nácar es el equilibrio perfecto entre tecnología de vanguardia y estilo sofisticado, diseñado para llevar tu experiencia móvil al siguiente nivel."
KIT APP IPH11 128 GBLA NG NAC,iPhone 11 128GB Negro Nacar,"Descubre el iPhone 11 128GB Negro Nácar, una obra maestra de la tecnología moderna que combina un diseño elegante con un rendimiento excepcional. Este impresionante dispositivo cuenta con una pantalla Liquid Retina HD de 6.1 pulgadas, que ofrece una resolución de 1792 x 828 píxeles, utilizando tecnología IPS para proporcionar colores vibrantes y un brillo impresionante desde cualquier ángulo.

Con unas dimensiones de 150.9 mm de alto, 75.7 mm de ancho y 8.3 mm de grosor, y un peso aproximado de 194 gramos, el iPhone 11 128GB Negro Nácar es cómodo de sostener y llevar, sin comprometer su robustez y durabilidad.

El almacenamiento de 128GB te ofrece amplio espacio para todas tus aplicaciones, fotos y archivos, complementado por 4GB de RAM que garantizan un rendimiento fluido y eficiente. La cámara dual trasera de 12 MP, con lentes ultra gran angular y gran angular, permite capturar imágenes impresionantes con un enfoque automático más rápido y un modo nocturno mejorado para fotos asombrosas en condiciones de poca luz.

Equipado con el potente chip A13 Bionic, el iPhone 11 128GB Negro Nácar está diseñado con una arquitectura de 64 bits, asegurando un rendimiento excepcional y eficiencia energética. La batería ofrece hasta 17 horas de reproducción de video, lo que te permite disfrutar de tus contenidos favoritos durante todo el día con una sola carga.

El iPhone 11 128GB Negro Nácar es más que un teléfono; es una herramienta esencial para aquellos que demandan lo mejor en tecnología móvil. Su diseño sofisticado y características avanzadas lo convierten"
KIT APP IPH16PRO128GB DF,iPhone 16 Pro 128GB Fucsia,"El iPhone 16 Pro 128GB Fucsia es el epítome de la innovación y el diseño elegante de Apple, ofreciendo un equilibrio perfecto entre rendimiento y estilo.

Pantalla: El iPhone 16 Pro cuenta con una impresionante pantalla Super Retina XDR. Con una resolución de 2778 x 1284 píxeles, esta pantalla OLED ofrece colores vibrantes y un contraste increíble, ideal para disfrutar de contenido multimedia con una claridad asombrosa.

Dimensiones y Peso: Con un diseño ergonómico, el iPhone 16 Pro tiene unas dimensiones aproximadas de 146.7 mm de alto, 71.5 mm de ancho y 7.4 mm de grosor, con un peso de 204 gramos, lo que lo hace cómodo de sostener y fácil de manejar.

Capacidad: Este modelo está disponible con una opción de almacenamiento de 128GB, proporcionando suficiente espacio para tus aplicaciones, fotos y videos. Además, viene con 8GB de RAM, asegurando un rendimiento fluido y eficiente.

Cámara: El sistema de cámaras del iPhone 16 Pro es realmente avanzado, incluyendo un conjunto de triple cámara trasera de 48 MP, 12 MP y 12 MP, con capacidades de zoom óptico y grabación en 4K. La cámara frontal de 12 MP asegura selfies nítidas y videollamadas de alta calidad.

Procesador: Equipado con el potente chip A17 Bionic, el iPhone 16 Pro ofrece una arquitectura de 64 bits, garantizando un rendimiento superior y eficiencia energética, ideal para manejar tareas intensivas y aplicaciones exigentes sin esfuerzo.

Batería: La batería del iPhone 16 Pro ofrece una capacidad de hasta 3200 mAh, asegurando que puedas disfrutar de tus aplicaciones y contenidos durante todo el día. Además, cuenta con carga rápida y carga inalámbrica para mayor comodidad."
KIT APP IP16PLUS128GB BK,iPhone 16 Plus 128GB Negro,"La innovación y el diseño se unen en el iPhone 16 Plus 128GB Negro, un dispositivo que redefine la experiencia móvil con su impresionante tecnología y elegancia.

Pantalla: El iPhone 16 Plus cuenta con una pantalla Super Retina XDR que ofrece colores vibrantes y una claridad excepcional. Con una resolución sorprendente de 2778 x 1284 píxeles, esta pantalla OLED proporciona una experiencia visual envolvente, ideal para disfrutar de tus contenidos favoritos con una calidad cinematográfica.

Dimensiones y Peso: Diseñado para combinar funcionalidad y estilo, el iPhone 16 Plus mide aproximadamente 160.8 mm de alto, 78.1 mm de ancho y 7.4 mm de grosor, con un peso aproximado de 228 gramos. Su diseño ergonómico lo hace cómodo de sostener y usar durante todo el día.

Capacidad: Este modelo ofrece una capacidad de almacenamiento de 128GB, permitiéndote guardar tus fotos, videos y aplicaciones sin preocupaciones. Además, viene equipado con 6GB de RAM, asegurando un rendimiento fluido y eficiente.

Cámara: La cámara del iPhone 16 Plus es una obra maestra de la tecnología móvil. Con un sistema de triple cámara que incluye un sensor principal de alta resolución, un ultra gran angular y un teleobjetivo, capturarás fotos y videos con detalles asombrosos y colores reales. La función de modo nocturno ha sido mejorada para ofrecer resultados impresionantes en condiciones de poca luz.

Procesador: En el corazón del iPhone 16 Plus se encuentra el chip A17 Bionic, diseñado con arquitectura de 5 nanómetros. Este proceso de fabricación avanzado proporciona un rendimiento excepcional y eficiencia energética, permitiendo ejecutar aplicaciones exigentes y juegos de alta calidad sin esfuerzo."
KIT AVVIO A400 AZUL,Avvio A400 Azul,"El Avvio A400 Azul es un dispositivo que combina elegancia y funcionalidad, diseñado para aquellos que buscan un rendimiento confiable en su día a día. 

Su pantalla de 4 pulgadas ofrece una resolución WVGA (800 x 480 píxeles), utilizando tecnología TFT que garantiza una visualización clara y nítida de imágenes y texto, ideal para navegar por tus redes sociales o disfrutar de contenido multimedia.

Con unas dimensiones compactas de aproximadamente 124 x 64 x 10.9 mm y un peso ligero de alrededor de 120 gramos, el Avvio A400 Azul es cómodo de llevar y manejar, perfecto para quienes valoran la portabilidad.

En cuanto a su capacidad, este modelo ofrece 512 MB de almacenamiento interno, ampliable mediante tarjeta microSD, y 256 MB de RAM, permitiendo un manejo fluido de las aplicaciones básicas y multitareas sencillas.

La cámara del Avvio A400 Azul cuenta con una lente trasera de 2 MP, adecuada para capturar tus momentos cotidianos con facilidad y compartirlos de inmediato.

Equipado con un procesador de doble núcleo basado en la arquitectura ARM Cortex-A7, el Avvio A400 Azul asegura un desempeño eficiente para tareas diarias, sin comprometer la duración de la batería.

Hablando de batería, su capacidad de 1400 mAh proporciona una duración que te acompaña a lo largo del día, permitiéndote mantenerte conectado sin tener que preocuparte por recargar constantemente.

El Avvio A400 Azul es la elección perfecta para quienes buscan un teléfono sencillo y fiable, sin dejar de lado un diseño moderno y atractivo."
KIT APP IPH16PM256GB BF,iPhone 16 Pro Max 128GB Azul,"Descubre el iPhone 16 Pro Max 128GB Azul, una obra maestra de la tecnología y el diseño que redefine lo que un smartphone puede ser.

Con una impresionante pantalla OLED Super Retina XDR de 6.7 pulgadas, el iPhone 16 Pro Max ofrece una resolución de 2796 x 1290 píxeles, proporcionando una experiencia visual ultranítida con colores vibrantes y negros profundos. La tecnología ProMotion garantiza una tasa de refresco adaptativa de hasta 120 Hz, asegurando una interacción fluida y precisa.

En cuanto a sus dimensiones, este modelo mide aproximadamente 160.8 mm de alto, 78.1 mm de ancho y 7.8 mm de grosor, con un peso cercano a los 238 gramos, equilibrando perfectamente tamaño y manejo.

El iPhone 16 Pro Max Azul viene equipado con una capacidad de almacenamiento de 128GB, ideal para guardar tus fotos, videos y aplicaciones esenciales. Además, cuenta con 8GB de RAM que aseguran un rendimiento eficiente y rápido en todas tus tareas diarias.

La cámara del iPhone 16 Pro Max es un sistema avanzado de triple lente, que incluye un sensor principal de 48 megapíxeles, un ultra gran angular de 12 megapíxeles, y un teleobjetivo de 12 megapíxeles. Con capacidades de fotografía computacional mejoradas y grabación de video en 4K, cada toma es una obra de arte.

En su interior, el iPhone 16 Pro Max está impulsado por el chip A16 Bionic, un procesador de 6 núcleos que utiliza una arquitectura de 5 nanómetros, ofreciendo un rendimiento excepcional y eficiencia."
KIT HOR 200 LITE 256GB VR,Honor 200 Lite 256GB Verde,"Descubre el Honor 200 Lite 256GB Verde, un dispositivo que combina elegancia y potencia en un diseño moderno y funcional. Este smartphone está diseñado para quienes buscan rendimiento sin comprometer el estilo.

La pantalla del Honor 200 Lite es una vibrante LCD de 6.5 pulgadas con resolución Full HD+, ideal para disfrutar de tus contenidos multimedia con una claridad excepcional y colores vivos. Su tecnología avanzada asegura una experiencia visual envolvente, tanto para ver videos como para navegar en tus aplicaciones favoritas.

En cuanto a sus dimensiones y peso, el Honor 200 Lite es sorprendentemente ligero y cómodo de sostener, midiendo aproximadamente 163.6 x 75.2 x 8 mm y pesando alrededor de 179 gramos, lo que lo hace fácil de manejar y perfecto para llevarlo contigo a cualquier parte.

Con una capacidad de almacenamiento de 256GB, podrás guardar todas tus fotos, videos y aplicaciones sin preocuparte por el espacio. Además, está equipado con 8GB de RAM, lo que garantiza un rendimiento fluido y eficiente incluso al realizar múltiples tareas.

La cámara del Honor 200 Lite es una de sus características más destacadas, con un sistema de triple cámara que incluye un sensor principal de 64 MP, diseñado para capturar imágenes nítidas y detalladas en cualquier condición de luz. La cámara frontal de 16 MP se asegura de que tus selfies sean siempre impresionantes.

El corazón del Honor 200 Lite es su procesador MediaTek Helio G85, una pieza de ingeniería avanzada que ofrece un rendimiento potente y una arquitectura de eficiencia energética para garantizar que cada tarea se realice sin esfuerzo.

Por último, su batería de 5000 mAh está diseñada para durar todo el día sin necesidad de recarga constante, permitiéndote disfrutar de tus actividades sin preocupaciones."
